,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
848,lunch,male,39,173,58,2105,79,58,316,1,929,46.7,41.3,88.1,5.4,136,3
849,lunch,male,40,172,65,2582,97,72,387,1,619,31.1,27.5,58.8,3.6,91,2
850,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
851,breakfast,female,47,161,45,1545,58,43,232,1,52,0.6,2.8,6.3,0.1,0,1
852,dinner,male,44,179,68,2688,101,75,403,3,1151,50.3,64.9,84.5,7.9,173,2
853,dinner,male,39,173,58,2105,79,58,316,4,506,38.4,28.1,25.9,5.6,111,2
854,lunch,male,39,173,58,2105,79,58,316,2,578,20.5,19.6,77.1,6.0,45,2
855,dinner,female,47,161,45,1545,58,43,232,2,556,27.9,14.0,74.7,5.9,51,2
856,lunch,female,47,161,45,1545,58,43,232,1,975,35.5,38.1,113.2,3.4,38,2
857,breakfast,female,47,161,45,1545,58,43,232,1,52,0.6,2.8,6.3,0.1,0,1
858,breakfast,female,26,159,51,2042,77,57,306,2,350,13.1,13.8,43.3,2.5,7,1
859,breakfast,male,39,173,58,2105,79,58,316,3,304,7.1,2.9,64.9,0.8,0,1
860,dinner,female,52,159,54,1921,72,53,288,3,728,27.1,36.3,66.5,3.2,60,2
861,lunch,female,52,159,54,1921,72,53,288,3,436,19.6,11.7,61.4,2.9,3,2
862,breakfast,female,52,159,54,1921,72,53,288,2,221,7.3,3.7,39.5,1.0,0,1
863,dinner,female,52,159,54,1921,72,53,288,4,579,15.0,21.3,78.1,4.1,153,3
864,lunch,female,52,159,54,1921,72,53,288,3,530,16.8,18.6,72.7,2.9,108,3
865,breakfast,female,52,159,54,1921,72,53,288,2,438,19.2,20.7,44.8,3.8,108,3
866,dinner,female,52,159,54,1921,72,53,288,2,500,16.2,18.0,66.8,2.9,108,3
867,lunch,female,52,159,54,1921,72,53,288,1,523,10.1,22.7,69.7,4.6,0,1
868,breakfast,female,52,159,54,1921,72,53,288,3,306,13.5,9.9,39.6,1.5,0,2
869,dinner,male,39,173,58,2105,79,58,316,2,671,24.0,29.8,75.7,3.4,33,2
870,dinner,male,44,179,68,2688,101,75,403,1,1324,53.1,21.0,216.7,11.0,32,2
871,lunch,male,44,179,68,2688,101,75,403,2,884,35.6,48.0,69.0,1.6,0,2
872,dinner,male,44,179,68,2688,101,75,403,3,557,23.2,33.1,37.4,1.6,46,2
873,breakfast,male,39,173,58,2105,79,58,316,2,225,10.0,7.3,29.3,1.3,0,1
874,breakfast,male,39,173,58,2105,79,58,316,2,393,16.6,21.1,33.6,2.7,20,2
875,dinner,male,39,173,58,2105,79,58,316,4,1066,39.1,40.7,96.4,7.9,242,2
876,breakfast,male,39,173,58,2105,79,58,316,4,366,10.7,5.9,69.8,0.9,0,2
877,dinner,female,26,161,53,2085,78,58,313,1,252,2.4,15.2,26.4,0.9,0,1
878,lunch,female,26,161,53,2085,78,58,313,1,565,31.5,2.0,100.3,2.7,3,2
879,breakfast,female,26,161,53,2085,78,58,313,1,218,5.1,4.5,38.3,0.1,0,1
880,dinner,female,26,161,53,2085,78,58,313,1,586,23.5,25.3,61.4,2.4,30,2
