Date,Open,High,Low,Close,Volume
2/9/2018,9487.49,10523.3,9055.04,10433.2,0
2/10/2018,10419.1,11389.2,9701.52,10241.5,0
2/11/2018,10227.7,10303.1,9155.35,9554.94,0
2/12/2018,9607.98,10539.7,9585.63,10332.4,0
2/13/2018,10340.4,10484.7,9732.68,10058.2,0
2/14/2018,10052.4,11272.2,9996.3,11147.5,0
2/15/2018,11130.8,11718,10898.2,11522.8,0
2/16/2018,11495.1,11933.6,11125.3,11743.2,0
2/17/2018,11729,12461,11598.4,12299,0
2/18/2018,12298,12465,11222,11471.7,0
2/19/2018,11461.5,12139.6,11414.8,11955.6,0
2/20/2018,11961.5,12448.6,11302.3,11419.6,0
2/21/2018,11376.1,11705.5,10532.8,10814,0
2/22/2018,10785.2,11213.3,9878.11,10087.2,0
2/23/2018,10036.3,10876.2,9730.05,10606.3,0
2/24/2018,10593.4,10954.7,9839.53,10185.4,0
2/25/2018,10161,10439.5,9761.08,10146,0
2/26/2018,10163.8,10798.5,9908.49,10574.4,0
2/27/2018,10619.7,11039.8,10415.8,10752.5,0
2/28/2018,10728.9,10993.7,10176.4,10213.9,0
3/1/2018,10214.1,10885.9,10052.2,10656.9,10.19228804
3/2/2018,10659,10887.7,10284.2,10512.2,10.19645471
3/3/2018,10509.1,10844.1,10306.3,10516.9,10.15364969
3/4/2018,10511.3,10803,10198.6,10689.1,13786889216
3/5/2018,10694.3,10941.7,10407.4,10523,15656736768
3/6/2018,10487.2,10577.5,9749.38,9884.93,15112238080
3/7/2018,9888.27,10072.9,8617.83,9070.57,18634391552
3/8/2018,9066.56,9346.06,8378.65,8518.02,15625184256
3/9/2018,8501.14,8749.06,7614.46,8637.58,19168352256
3/10/2018,8663.29,8901.5,8088,8148.83,12337659904
3/11/2018,8132.15,8855.69,7876.23,8707.58,13602011136
3/12/2018,8710.48,8971.29,8117.06,8361.21,13394763776
3/13/2018,8335.28,8688.81,8089.65,8387.25,12211296256
3/14/2018,8401.1,8600.45,7219.28,7422.35,13560070144
